playerid,OAA,opportunity
162393,29.0,148
162648,22.0,145
147431,22.0,154
2950,21.0,118
162066,20.0,176
154448,20.0,166
5393,18.0,129
161551,18.0,157
9074,18.0,126
9425,17.0,122
9148,16.0,111
132551,16.0,137
113301,14.0,76
167960,14.0,196
7580,13.0,82
206311,13.0,133
5419,12.0,129
199814,11.0,102
5495,11.0,167
160570,10.0,130
168314,9.0,134
11869,9.0,135
9424,9.0,46
9742,9.0,77
11742,9.0,161
172307,8.0,32
2087,8.0,62
197513,8.0,67
163714,7.0,55
121615,7.0,23
159919,6.0,54
207428,6.0,46
196902,6.0,45
208314,6.0,61
164881,5.0,78
171806,5.0,109
3295,4.0,16
3843,4.0,33
162294,4.0,42
200265,3.0,42
171885,3.0,68
169390,3.0,13
168425,3.0,17
3911,2.0,62
206262,2.0,18
5783,2.0,23
159128,2.0,34
10019,2.0,3
167746,2.0,20
171164,2.0,10
159560,2.0,7
206819,2.0,2
159953,2.0,6
4331,2.0,8
172568,2.0,25
184486,1.0,7
163723,1.0,6
6731,1.0,7
11249,1.0,3
4955,1.0,5
158584,1.0,2
197678,1.0,5
203336,1.0,5
7393,1.0,4
168003,1.0,1
5695,1.0,1
3243,1.0,2
171682,1.0,1
169374,1.0,8
206922,0.0,9
1632,0.0,3
9428,0.0,2
6495,0.0,3
169242,0.0,3
168278,0.0,1
164908,0.0,3
10146,0.0,3
914,0.0,3
7947,0.0,1
217896,0.0,2
201780,0.0,3
9361,0.0,1
44926256,0.0,1
195974,0.0,1
9210,-0.0,48
1341,-0.0,3
158358,-0.0,23
4379,-0.0,12
205278,-0.0,11
201896,-0.0,4
10596,-0.0,5
158255,-0.0,13
164744,-0.0,10
11056,-0.0,3
11548,-0.0,3
8197,-1.0,3
207800,-1.0,3
11500,-1.0,15
206151,-1.0,2
204618,-1.0,1
7654,-1.0,4
189664,-1.0,72
171819,-1.0,12
187571,-2.0,2
6619,-2.0,38
